Key,Layer Type,Segment,Cost Type,Cost Object,Spend type,Market Segment,Internal Staff,External Staff,SW Depreciation,HW Depreciation,SW Maintenance,HW Maintenance,Leased Lines,Other IT Cost,Other OOE,Total
3761,Direct,Energy,0,PSP 0001/A1-02230   Energy TechOps XProduct,Run,Result,-346,-9,0,0,0,0,0,0,0,-355
3762,Direct,Energy,0,PSP 0066/A1-02230   Energy TechOps XProduct,Run,Commodities,-129,0,0,0,0,0,0,0,0,-129
3763,Direct,Energy,0,PSP 0066/A1-02230   Energy TechOps XProduct,Run,Result,-129,0,0,0,0,0,0,0,0,-129
3764,Direct,GSF,0,PSP 5120/A2-02147   C080-GSF BAU SUPPORT,Run,GSF,-5,-230,0,0,0,0,0,0,0,-236
3765,Direct,GSF,0,PSP 5120/A2-02147   C080-GSF BAU SUPPORT,Run,Result,-5,-230,0,0,0,0,0,0,0,-236
3766,Direct,Data,0,PSP 0066/Q8-00954   CEF - Rufbereitschaft,Run,Data,-12,0,0,0,0,0,0,0,0,-12
3767,Direct,Data,0,PSP 0066/Q8-00954   CEF - Rufbereitschaft,Run,Result,-12,0,0,0,0,0,0,0,0,-12
3768,Direct,Clearing,0,PSP 0001/M0-02199   C7 ECC : Specification IT,Change,Eurex,5,0,0,0,0,0,0,0,0,5
3769,Direct,Clearing,0,PSP 0001/M0-02199   C7 ECC : Specification IT,Change,Result,5,0,0,0,0,0,0,0,0,5
3770,Direct,Clearing,0,PSP 0072/M0-02199   C7 ECC : Specification IT,Change,Eurex,-5,0,0,0,0,0,0,0,0,-5
3771,Direct,Clearing,0,PSP 0072/M0-02199   C7 ECC : Specification IT,Change,Result,-5,0,0,0,0,0,0,0,0,-5
3772,Direct,Clearing,0,PSP 0001/M4-02199   C7 ECC: PMT,Change,Eurex,-7,0,0,0,0,0,0,0,0,-7
3773,Direct,Clearing,0,PSP 0001/M4-02199   C7 ECC: PMT,Change,Result,-7,0,0,0,0,0,0,0,0,-7
3774,Direct,Clearing,0,PSP 0066/M4-02199   C7 ECC : PMT,Change,Eurex,-38,0,0,0,0,0,0,0,0,-38
3775,Direct,Clearing,0,PSP 0066/M4-02199   C7 ECC : PMT,Change,Result,-38,0,0,0,0,0,0,0,0,-38
3776,Direct,Clearing,0,PSP 0066/M1-02199   C7 ECC : Build & Test IT,Change,Eurex,-385,-162,0,0,0,0,0,0,-2,-550
3777,Direct,Clearing,0,PSP 0066/M1-02199   C7 ECC : Build & Test IT,Change,Result,-385,-162,0,0,0,0,0,0,-2,-550
3778,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/P2-01042   Arbeitgeber bedingte Zeiten IT,Run,Cash,0,0,0,0,0,0,0,0,0,0
